m1,b1,m2,b2,m3,b3,mode,load,tput_m1,tput_m2,tput_m3,total_p90_m1,total_p90_m2,total_p90_m3,total_p99_m1,total_p99_m2,total_p99_m3,total_p100_m1,total_p100_m2,total_p100_m3,slo_m1,slo_violation_m1,slo_m2,slo_violation_m2,slo_m3,slo_violation_m3,slo_violation_no,job_mix
densenet121,16,densenet201,32,mobilenet_v2,32,mps-uncap,1.0,523.1896371399786,523.3592715226208,2835.0147913172245,33.69617462158203,62.60128021240234,15.285015106201172,34.407920837402344,63.16257953643799,16.933472156524658,34.6982479095459,64.56136703491211,17.3799991607666,56.98,0,94.15,0,23.45,0,0,densenet121-16-densenet201-32-mobilenet_v2-32
alexnet,8,mobilenet_v3_large,8,vgg16,2,mps-uncap,1.0,4227.852805784586,1444.7752258516905,541.1102907115006,2.1212100982666016,5.948996543884277,3.9522647857666016,2.3645973205566406,6.3324522972106925,4.278459548950196,3.721714019775391,7.049560546875,5.079984664916992,4.585,0,24.71,0,7.77,0,0,alexnet-8-mobilenet_v3_large-8-vgg16-2
densenet121,16,mobilenet_v3_large,32,resnet18,16,mps-uncap,1.0,669.0261074525484,3325.8547836066787,3058.0452846271446,24.93600845336914,11.511540412902832,6.885528564453125,25.74234962463379,11.943340301513672,7.8590869903564435,26.23534202575684,12.417078018188477,8.817195892333984,56.98,0,25.025,0,10.535,0,0,densenet121-16-mobilenet_v3_large-32-resnet18-16
densenet121,2,mobilenet_v3_large,32,resnet18,32,mps-uncap,1.0,119.44560980610083,3427.5917366718586,4957.50704896698,18.51735115051269,10.232281684875488,7.060766220092773,18.9810037612915,10.542151927947998,7.412996292114258,19.809484481811523,10.74838638305664,8.640050888061523,55.545,0,25.025,0,17.955,0,0,densenet121-2-mobilenet_v3_large-32-resnet18-32
densenet121,8,mobilenet_v3_large,2,resnet18,2,mps-uncap,1.0,937.8143519014712,668.0632273599504,1335.7065395554862,8.67319107055664,3.226757049560547,1.959085464477539,8.80568742752075,3.4584331512451176,2.3679733276367188,9.688138961791992,4.485130310058594,3.2994747161865234,55.685,0,24.395,0,8.33,0,0,densenet121-8-mobilenet_v3_large-2-resnet18-2
inception_v3,32,vgg19,16,vgg19,16,mps-uncap,1.0,343.484485429225,684.5842773626441,684.4372475647159,95.95091342926024,25.211715698242188,25.197887420654297,101.48755311965942,25.9812593460083,26.469044685363777,104.1710376739502,26.563644409179688,27.418851852416992,39.27,1,41.37,0,41.37,0,1,inception_v3-32-vgg19-16-vgg19-16
densenet121,16,densenet169,8,mobilenet_v2,2,mps-uncap,1.0,1210.834555658368,515.9804567555155,651.7902354144283,13.541650772094728,17.037630081176758,4.376220703125,13.74009609222412,17.655000686645508,5.545740127563477,15.417814254760742,20.136594772338867,6.375312805175781,56.98,0,78.68,0,20.65,0,0,densenet121-16-densenet169-8-mobilenet_v2-2
densenet161,4,densenet169,32,resnet101,8,mps-uncap,1.0,145.51435390631647,997.8383546186952,468.0455469385213,28.963875770568848,32.57880210876465,19.40479278564453,29.4902229309082,32.95942306518555,20.68241596221924,30.19857406616211,34.53397750854492,21.44908905029297,77.21,0,75.495,0,44.135,0,0,densenet161-4-densenet169-32-resnet101-8
densenet161,2,densenet169,4,resnet101,8,mps-uncap,1.0,164.21610533157812,295.99922172631807,856.8781529579493,12.775897979736328,14.07318115234375,9.644651412963867,13.039422035217283,14.35436487197876,9.846878051757812,15.055418014526367,14.658451080322266,11.89255714416504,78.12,0,78.855,0,44.135,0,0,densenet161-2-densenet169-4-resnet101-8
resnet152,4,squeezenet1_1,2,vgg16,2,mps-uncap,1.0,284.27132267202154,947.8419630246732,694.7194934228223,14.72620964050293,2.428770065307617,3.048896789550781,15.373229980468748,2.6747584342956543,3.22866439819336,17.263412475585938,3.437042236328125,4.085779190063477,64.085,0,8.68,0,7.77,0,0,resnet152-4-squeezenet1_1-2-vgg16-2
densenet161,32,resnet101,32,vgg13,4,mps-uncap,1.0,415.9247258753844,691.2847117141972,529.4492387422468,79.05361652374268,49.29578304290772,10.388612747192385,80.06041288375854,50.46727657318115,14.775526523590084,81.20369911193848,51.595211029052734,17.714738845825195,111.125,0,70.035,0,10.01,1,1,densenet161-32-resnet101-32-vgg13-4
densenet161,8,resnet101,16,vgg13,4,mps-uncap,1.0,216.87055212971129,628.8006318853699,800.5715035829573,38.48123550415039,26.415920257568363,6.055259704589844,39.4343376159668,27.10522174835205,7.053036689758301,40.47393798828125,28.318405151367188,8.644819259643555,77.105,0,43.995,0,10.01,0,0,densenet161-8-resnet101-16-vgg13-4
resnet18,16,resnet18,32,squeezenet1_0,2,mps-uncap,1.0,2806.371094447601,5315.744083918168,575.8031308373298,6.157159805297852,6.164312362670898,4.815816879272461,6.253719329833984,6.273059844970703,5.550251007080079,7.404088973999023,7.325649261474609,5.969524383544922,10.535,0,17.955,0,9.485,0,0,resnet18-16-resnet18-32-squeezenet1_0-2
mobilenet_v2,2,resnet50,32,vgg19,2,mps-uncap,1.0,276.5162980768938,2011.665161371468,312.2229682516144,10.293245315551758,16.209745407104492,8.532571792602539,10.820639133453373,16.4450740814209,9.392480850219728,11.221885681152344,17.513275146484375,10.194778442382812,20.65,0,46.585,0,8.855,1,1,mobilenet_v2-2-resnet50-32-vgg19-2
mobilenet_v2,32,resnet50,16,vgg19,16,mps-uncap,1.0,1439.9155654479068,500.74393520503565,941.2385497255476,24.37455654144287,34.14158821105957,18.256664276123047,25.520596504211422,34.86447811126709,18.762836456298825,26.55339241027832,36.15927696228027,20.081520080566406,23.45,1,26.39,1,41.37,0,2,mobilenet_v2-32-resnet50-16-vgg19-16
efficientnet_b7,4,mobilenet_v3_small,4,squeezenet1_1,4,mps-uncap,1.0,251.2694577110556,1616.814156959278,2466.1578919905905,16.312885284423828,2.5887489318847656,1.9123554229736328,16.637568473815918,2.7320384979248047,2.0949840545654297,18.016815185546875,3.805398941040039,3.267765045166016,107.66,0,20.755,0,8.82,0,0,efficientnet_b7-4-mobilenet_v3_small-4-squeezenet1_1-4
efficientnet_b7,8,mobilenet_v3_small,32,squeezenet1_1,16,mps-uncap,1.0,278.56094272444454,5133.980649748284,3750.943858967493,29.48613166809082,7.658243179321289,5.276727676391602,30.2101731300354,8.302998542785645,5.846977233886719,30.56478500366211,9.047985076904297,6.846904754638672,107.31,0,20.23,0,9.66,0,0,efficientnet_b7-8-mobilenet_v3_small-32-squeezenet1_1-16
mobilenet_v3_small,2,vgg16,4,vgg16,8,mps-uncap,1.0,255.1679347293652,511.4869668504029,1020.5617680929676,9.065675735473633,7.973504066467286,8.01229476928711,10.24839162826538,8.415944576263428,8.360352516174316,11.567115783691406,9.458780288696287,9.601354598999023,20.895,0,11.515,0,20.475,0,0,mobilenet_v3_small-2-vgg16-4-vgg16-8
densenet121,32,densenet161,8,resnet18,2,mps-uncap,1.0,1404.0333212529265,290.0503620627215,569.529804999955,23.44632148742676,30.21841049194336,6.000757217407229,23.76800775527954,31.664471626281745,8.384981155395515,25.523662567138672,32.39560127258301,9.36269760131836,59.535,0,77.105,0,8.33,1,1,densenet121-32-densenet161-8-resnet18-2
squeezenet1_1,4,squeezenet1_1,8,vgg19,16,mps-uncap,1.0,613.1805018991535,1089.989268729026,1224.8546964868929,9.748458862304688,9.828853607177734,13.3009672164917,10.046162605285645,10.631291866302492,13.509461879730228,12.659549713134766,12.511014938354492,15.882730484008787,8.82,1,8.855,1,41.37,0,2,squeezenet1_1-4-squeezenet1_1-8-vgg19-16
efficientnet_b6,8,resnet34,8,vgg19,32,mps-uncap,1.0,86.26133731548293,276.11779206529366,1302.2808293657936,97.29728698730467,33.69309902191162,25.50888061523437,98.51313591003418,39.05548095703125,26.00995779037476,102.02670097351074,41.23759269714356,27.97937393188477,87.815,1,14.035,1,77.805,0,2,efficientnet_b6-8-resnet34-8-vgg19-32
alexnet,8,resnet18,32,vgg11,8,mps-uncap,1.0,2099.372887741004,2898.65370742927,1438.2126634669896,4.567503929138184,11.376142501831056,5.994319915771484,5.624771118164063,11.651587486267088,6.569147109985352,6.162166595458984,14.356613159179688,7.628917694091797,4.585,1,17.955,0,13.055,0,1,alexnet-8-resnet18-32-vgg11-8
alexnet,4,resnet18,16,vgg11,16,mps-uncap,1.0,1105.3486546235067,1654.9034093463515,2209.717519456808,5.184316635131836,10.585880279541016,7.63249397277832,5.77235221862793,11.201581954956056,7.835810184478761,6.87098503112793,12.155771255493164,10.176658630371094,3.57,1,10.535,1,21.77,0,2,alexnet-4-resnet18-16-vgg11-16
alexnet,2,resnet18,2,vgg11,4,mps-uncap,1.0,1618.9426796062978,718.6083030539083,1365.3990924806992,1.4355182647705078,3.08084487915039,3.1464099884033203,1.605510711669922,3.4096455574035645,3.322601318359375,2.7570724487304688,4.410028457641602,4.293680191040039,3.57,0,8.33,0,7.56,0,0,alexnet-2-resnet18-2-vgg11-4
mobilenet_v3_large,8,resnet18,32,vgg16,2,mps-uncap,1.0,1021.4484439688874,4687.9681898871895,455.4518858927041,8.875083923339844,7.181334495544434,5.507373809814454,9.909405708312988,7.471251487731933,5.988831520080566,11.19375228881836,8.366107940673828,6.862640380859375,24.71,0,17.955,0,7.77,0,0,mobilenet_v3_large-8-resnet18-32-vgg16-2
densenet161,8,densenet201,8,resnet152,16,mps-uncap,1.0,303.4792871990963,256.35163112709336,668.3658272734565,27.01444625854492,32.65235424041748,24.656391143798828,27.955541610717773,34.3380856513977,24.985184669494625,29.518604278564453,35.187721252441406,25.715112686157227,77.105,0,95.76,0,64.33,0,0,densenet161-8-densenet201-8-resnet152-16
densenet201,32,mobilenet_v2,32,resnet101,32,mps-uncap,1.0,410.5656807482837,2183.049634717172,792.0199310683382,79.64315414428711,17.728805541992188,42.2269344329834,80.55898666381836,20.645618438720703,43.09717178344727,81.09235763549805,21.54731750488281,43.55931282043457,94.15,0,23.45,0,70.035,0,0,densenet201-32-mobilenet_v2-32-resnet101-32
densenet121,32,resnet18,16,squeezenet1_0,16,mps-uncap,1.0,931.0898722914884,2288.570485565048,2378.703392586797,34.94603633880615,10.154247283935549,10.300588607788086,35.61022758483887,11.190032958984371,10.815119743347166,36.14234924316406,11.948108673095703,12.900590896606444,59.535,0,10.535,1,13.02,0,1,densenet121-32-resnet18-16-squeezenet1_0-16
efficientnet_b5,2,mobilenet_v3_large,32,resnet101,8,mps-uncap,1.0,110.27757780743195,4451.744400787665,589.9702706300128,19.40114498138428,7.744073867797852,14.423131942749023,20.427768230438232,7.991685867309568,14.69804048538208,21.552324295043945,9.82975959777832,16.94965362548828,74.445,0,25.025,0,44.135,0,0,efficientnet_b5-2-mobilenet_v3_large-32-resnet101-8
efficientnet_b5,32,mobilenet_v3_large,8,resnet101,32,mps-uncap,1.0,642.3883176013829,548.9871201078126,823.6259274192198,51.8641471862793,19.11466121673584,41.38865470886231,52.827298641204834,22.78364658355713,41.90364837646485,53.32708358764648,24.099349975585938,42.31858253479004,106.645,0,24.71,0,70.035,0,0,efficientnet_b5-32-mobilenet_v3_large-8-resnet101-32
alexnet,4,densenet161,32,resnet152,2,mps-uncap,1.0,2089.0127151767388,815.7332392426541,87.11511531666399,2.3993968963623065,39.6578311920166,25.58457851409912,5.424480438232424,39.94772434234619,27.84992218017578,6.078481674194336,40.12775421142578,28.787851333618164,3.57,1,111.125,0,63.56,0,1,alexnet-4-densenet161-32-resnet152-2
inception_v3,2,resnet50,32,squeezenet1_1,2,mps-uncap,1.0,138.68186886149388,2459.213596502197,614.8009778290984,15.791034698486326,13.084888458251951,5.925202369689942,17.18344688415527,13.1526780128479,6.213097572326661,18.36490631103516,14.197111129760742,6.523370742797852,40.18,0,46.585,0,8.68,0,0,inception_v3-2-resnet50-32-squeezenet1_1-2
resnet18,2,vgg11,4,vgg16,16,mps-uncap,1.0,214.3001950008976,522.8022624822387,1284.1254502721324,11.259698867797852,9.645128250122069,12.771034240722656,11.866717338562012,9.999513626098633,13.048791885375977,117.21181869506836,97.5034236907959,129.9879550933838,8.33,1,7.56,1,36.05,1,3,resnet18-2-vgg11-4-vgg16-16
resnet18,32,vgg11,16,vgg16,8,mps-uncap,1.0,1717.4286257231872,1477.0844054983302,552.9756624289153,20.139384269714355,12.116861343383787,15.495824813842772,21.236398220062256,12.746391296386715,16.30511999130249,22.065162658691406,13.89765739440918,17.307519912719727,17.955,1,21.77,0,20.475,0,1,resnet18-32-vgg11-16-vgg16-8
resnet18,32,vgg11,4,vgg16,32,mps-uncap,1.0,1323.1524568901762,329.6774114474012,1323.1638229107743,24.50289726257324,17.570066452026367,24.483871459960938,25.371713638305668,19.03328895568848,24.7191858291626,29.83951568603516,20.766258239746094,26.94082260131836,17.955,1,7.56,1,67.62,0,2,resnet18-32-vgg11-4-vgg16-32
densenet121,2,mobilenet_v3_small,2,resnet152,8,mps-uncap,1.0,268.9260484476881,808.9625012510526,726.3922022501973,7.774090766906738,2.74045467376709,11.218786239624023,8.10529947280884,2.9957437515258785,11.377334594726562,11.298418045043944,4.072666168212891,12.688398361206056,55.545,0,20.895,0,64.155,0,0,densenet121-2-mobilenet_v3_small-2-resnet152-8
densenet121,4,mobilenet_v3_small,16,resnet152,8,mps-uncap,1.0,397.8659227382416,4982.554903810248,612.5879683605297,10.465860366821287,3.793835639953613,13.418197631835938,10.76362371444702,4.209792613983153,13.713502883911133,11.723756790161133,5.057811737060547,14.634847640991213,55.545,0,21.49,0,64.155,0,0,densenet121-4-mobilenet_v3_small-16-resnet152-8
resnet101,2,resnet101,32,resnet50,8,mps-uncap,1.0,104.32663469638808,1268.0543687645468,645.8464195029228,20.61629295349121,25.459694862365723,14.931750297546388,22.187900543212887,25.688624382019043,15.299129486083984,23.08368682861328,26.60560607910156,15.710115432739258,43.785,0,70.035,0,23.975,0,0,resnet101-2-resnet101-32-resnet50-8
mobilenet_v3_small,32,mobilenet_v3_small,32,vgg19,16,mps-uncap,1.0,2210.639521755608,2334.909607599074,1169.0331968226085,15.93923568725586,14.665412902832031,14.015817642211914,18.192815780639663,16.527891159057607,14.685840606689457,19.4091796875,17.99750328063965,15.087127685546877,20.23,0,20.23,0,41.37,0,0,mobilenet_v3_small-32-mobilenet_v3_small-32-vgg19-16
mobilenet_v3_small,4,mobilenet_v3_small,4,vgg19,2,mps-uncap,1.0,1557.185800128632,1474.6313510168363,727.4035064587977,2.786874771118164,2.880692481994629,2.835988998413086,2.899169921875,2.996993064880372,2.9636979103088383,3.884315490722656,4.1828155517578125,3.930807113647461,20.755,0,20.755,0,8.855,0,0,mobilenet_v3_small-4-mobilenet_v3_small-4-vgg19-2
mobilenet_v3_small,2,mobilenet_v3_small,4,vgg19,8,mps-uncap,1.0,461.3202376471562,816.4465077152088,1181.2665103450654,5.218029022216797,5.590915679931641,6.874990463256837,5.514979362487793,5.840015411376953,6.9744062423706055,6.6375732421875,6.796836853027344,8.091211318969727,20.895,0,20.755,0,23.275,0,0,mobilenet_v3_small-2-mobilenet_v3_small-4-vgg19-8
densenet161,8,densenet201,8,mobilenet_v3_small,8,mps-uncap,1.0,479.1647484407664,411.1524446369407,2739.5111505230343,17.12327003479004,20.49124240875244,3.6751270294189458,17.368745803833008,21.053593158721924,4.5371150970459,17.95506477355957,22.08948135375977,5.700826644897461,77.105,0,95.76,0,21.385,0,0,densenet161-8-densenet201-8-mobilenet_v3_small-8
mobilenet_v3_large,8,resnet18,4,squeezenet1_0,16,mps-uncap,1.0,1381.727181181997,1349.5266918763934,3851.506323678994,6.537818908691406,3.563404083251953,4.293680191040039,6.754264831542966,3.8754487037658696,4.366874694824219,7.062911987304688,4.583835601806641,5.4378509521484375,24.71,0,8.295,0,13.02,0,0,mobilenet_v3_large-8-resnet18-4-squeezenet1_0-16
efficientnet_b5,32,inception_v3,4,resnet34,16,mps-uncap,1.0,858.3680028153253,214.51760029744992,1297.7247424544564,37.49876022338867,22.574567794799805,17.67730712890625,37.868311405181885,23.49400997161865,18.036208152771,39.764404296875,24.32990074157715,20.424604415893555,106.645,0,40.425,0,15.085,1,1,efficientnet_b5-32-inception_v3-4-resnet34-16
efficientnet_b5,2,inception_v3,32,resnet34,8,mps-uncap,1.0,128.10125328335005,2131.661878970686,1512.193405031746,16.05031490325928,15.237951278686523,6.438446044921875,17.61981964111328,15.42102813720703,7.667593955993652,18.58377456665039,17.564058303833008,9.391546249389648,74.445,0,39.27,0,14.035,0,0,efficientnet_b5-2-inception_v3-32-resnet34-8
densenet169,4,resnet101,16,squeezenet1_0,4,mps-uncap,1.0,218.4790911756645,1103.6622008494642,1385.5180489356385,19.472217559814453,14.733171463012695,4.145002365112305,20.27850151062012,14.901762008666994,4.717798233032226,20.722627639770508,17.24863052368164,5.052804946899414,78.855,0,43.995,0,9.59,0,0,densenet169-4-resnet101-16-squeezenet1_0-4
densenet169,32,resnet101,4,squeezenet1_0,2,mps-uncap,1.0,1141.9470888051032,313.4153620428229,692.9488687483304,28.35097312927246,15.236663818359377,4.521083831787107,28.65082025527954,16.443614959716797,7.440109252929687,30.30014038085937,17.023563385009766,7.955789566040039,75.495,0,43.785,0,9.485,0,0,densenet169-32-resnet101-4-squeezenet1_0-2
efficientnet_b6,4,efficientnet_b7,32,resnet101,2,mps-uncap,1.0,103.82303455778656,553.8603161843223,91.206948197566,43.94183158874512,58.332157135009766,28.4724235534668,44.90419387817383,58.61148357391357,30.06442070007324,45.69602012634277,59.95655059814453,30.914306640625,85.855,0,187.285,0,43.785,0,0,efficientnet_b6-4-efficientnet_b7-32-resnet101-2
efficientnet_b6,16,efficientnet_b7,8,resnet101,16,mps-uncap,1.0,382.9560043884192,170.1721967630975,607.5459663719361,43.17269325256348,49.390506744384766,28.677797317504883,43.80312442779541,50.96293449401855,29.428863525390625,44.4331169128418,52.34956741333008,29.80828285217285,90.055,0,107.31,0,43.995,0,0,efficientnet_b6-16-efficientnet_b7-8-resnet101-16
efficientnet_b6,2,efficientnet_b7,8,resnet101,32,mps-uncap,1.0,65.70729607299583,183.96577725760136,1213.0089447569912,32.706236839294434,45.34010887145996,27.413010597229004,35.29919862747192,46.30112648010254,27.78829336166382,36.97514533996582,47.32370376586914,29.361486434936523,85.575,0,107.31,0,70.035,0,0,efficientnet_b6-2-efficientnet_b7-8-resnet101-32
alexnet,4,mobilenet_v2,2,mobilenet_v2,32,mps-uncap,1.0,2266.281369757931,500.2739318958765,4520.25742709788,3.595590591430664,5.521512031555176,7.186341285705566,3.859591484069825,5.925333499908446,7.349987030029297,4.800558090209961,6.734132766723633,8.275747299194336,3.57,1,20.65,0,23.45,0,1,alexnet-4-mobilenet_v2-2-mobilenet_v2-32
resnet152,16,resnet34,16,squeezenet1_0,8,mps-uncap,1.0,564.3662941692113,1662.8670594639125,1722.133476031105,28.729915618896484,10.918617248535156,5.716323852539063,29.123783111572266,11.334099769592283,6.583118438720703,31.052827835083008,11.71588897705078,7.674932479858398,64.33,0,15.085,0,9.765,0,0,resnet152-16-resnet34-16-squeezenet1_0-8
resnet50,2,squeezenet1_0,8,vgg13,16,mps-uncap,1.0,118.75688835137146,825.3599680666299,1650.7301859567517,19.14052963256836,10.005569458007812,9.888410568237305,19.564032554626465,10.771760940551758,10.071358680725098,21.62337303161621,12.318134307861328,12.38417625427246,24.115,0,9.765,1,30.835,0,1,resnet50-2-squeezenet1_0-8-vgg13-16
resnet50,32,squeezenet1_0,16,vgg13,8,mps-uncap,1.0,1068.606318551433,1251.519352330634,883.8791240357929,30.8901309967041,15.214180946350098,10.782957077026367,31.57225131988525,16.283357143402096,11.859397888183596,32.785892486572266,16.65639877319336,12.701034545898438,46.585,0,13.02,1,17.815,0,1,resnet50-32-squeezenet1_0-16-vgg13-8
densenet121,4,resnet34,8,squeezenet1_1,32,mps-uncap,1.0,270.0399457177157,1386.400016994064,6480.647048381919,15.239596366882324,6.684637069702148,5.339145660400391,15.88585615158081,7.597043514251709,5.432605743408203,17.14468002319336,8.051156997680664,6.051063537597656,55.545,0,14.035,0,15.995,0,0,densenet121-4-resnet34-8-squeezenet1_1-32
densenet121,16,resnet34,16,squeezenet1_1,16,mps-uncap,1.0,837.0259923339152,1807.55028978536,3573.4789960226644,19.69122886657715,10.456323623657228,6.19621276855469,20.243501663208008,10.720038414001465,6.8670129776000985,20.97487449645996,11.713504791259766,8.01849365234375,56.98,0,15.085,0,9.66,0,0,densenet121-16-resnet34-16-squeezenet1_1-16
alexnet,2,densenet161,4,densenet169,8,mps-uncap,1.0,2130.836526991284,262.6823550459651,522.5294174066834,1.1529922485351562,15.616083145141602,15.675687789916994,1.4128684997558594,15.98569869995117,15.98069190979004,2.562999725341797,17.80080795288086,17.872095108032227,3.57,0,77.21,0,78.68,0,0,alexnet-2-densenet161-4-densenet169-8
mobilenet_v3_large,2,mobilenet_v3_large,8,resnet34,16,mps-uncap,1.0,590.9280036813087,2363.2316031288005,3042.4970225602938,3.750324249267578,3.707838058471681,5.424761772155762,3.925795555114746,3.960132598876953,5.536086559295654,4.967451095581055,4.822492599487305,6.624698638916016,24.395,0,24.71,0,15.085,0,0,mobilenet_v3_large-2-mobilenet_v3_large-8-resnet34-16
mobilenet_v3_large,32,resnet18,8,vgg13,32,mps-uncap,1.0,1077.0173633291906,456.7866536980377,1775.5779628124214,33.820390701293945,18.854379653930664,18.812131881713867,34.693121910095215,20.645666122436563,19.10127639770508,36.7741584777832,23.746252059936523,19.88983154296875,25.025,1,8.96,1,57.4,0,2,mobilenet_v3_large-32-resnet18-8-vgg13-32
alexnet,8,resnet34,2,resnet34,8,mps-uncap,1.0,5375.4042995592245,463.2138406562524,1431.8291988240378,1.6219615936279297,4.555463790893555,5.812168121337891,1.765131950378418,4.73102569580078,6.010785102844235,2.724170684814453,5.872249603271484,7.023811340332031,4.585,0,13.825,0,14.035,0,0,alexnet-8-resnet34-2-resnet34-8
mobilenet_v2,32,resnet34,32,squeezenet1_1,16,mps-uncap,1.0,2844.3758479936923,2306.9489278334413,2443.1059361298453,12.123727798461914,14.792680740356444,8.607339859008787,12.332024574279783,15.558123588562015,9.592957496643065,13.519525527954102,16.58010482788086,9.8876953125,23.45,0,25.375,0,9.66,1,1,mobilenet_v2-32-resnet34-32-squeezenet1_1-16
densenet201,4,resnet101,16,resnet18,4,mps-uncap,1.0,174.4252785976935,1109.0121355134906,1365.5505249303048,23.844623565673828,14.62411880493164,3.721237182617188,24.216594696044925,14.774107933044434,4.378407001495361,24.52611923217773,16.760826110839844,5.466938018798828,95.2,0,43.995,0,8.295,0,0,densenet201-4-resnet101-16-resnet18-4
densenet201,8,resnet101,2,resnet18,8,mps-uncap,1.0,461.9005793379654,243.6480729997324,3010.28866734392,17.63463020324707,8.751869201660156,3.112030029296875,17.88620948791504,9.032890796661375,3.440699577331542,18.47672462463379,9.331941604614258,4.134178161621094,95.76,0,43.785,0,8.96,0,0,densenet201-8-resnet101-2-resnet18-8
mobilenet_v2,4,mobilenet_v3_small,32,vgg16,2,mps-uncap,1.0,1050.1611026612984,6406.955358830339,627.2297301599648,4.460573196411133,5.280256271362305,3.6510944366455087,5.012876987457274,5.608224868774414,4.056780338287354,5.607843399047852,6.232500076293945,5.021333694458008,20.37,0,20.23,0,7.77,0,0,mobilenet_v2-4-mobilenet_v3_small-32-vgg16-2
alexnet,2,vgg16,4,vgg19,4,mps-uncap,1.0,1039.8846780218512,639.6982034248636,530.4094614976285,2.653050422668457,6.634759902954102,8.022212982177734,3.261790275573731,6.923952102661132,8.54750394821167,3.879308700561523,8.19849967956543,9.91201400756836,3.57,1,11.515,0,13.02,0,1,alexnet-2-vgg16-4-vgg19-4
alexnet,8,vgg16,8,vgg19,2,mps-uncap,1.0,2107.0563130605647,975.208133597598,230.85549371203544,5.004024505615234,8.520960807800293,9.35511589050293,5.3217196464538565,8.815288543701172,9.862227439880373,6.316423416137695,10.709524154663086,10.599851608276367,4.585,1,20.475,0,8.855,1,2,alexnet-8-vgg16-8-vgg19-2
alexnet,16,vgg16,8,vgg19,8,mps-uncap,1.0,2853.274521342196,681.1964802133718,589.6648293189808,7.204294204711914,12.399959564208986,14.239788055419922,7.950019836425775,12.789368629455568,14.744703769683838,8.521080017089844,14.954090118408203,16.291141510009766,6.755,1,20.475,0,23.275,0,1,alexnet-16-vgg16-8-vgg19-8
densenet161,8,squeezenet1_0,2,squeezenet1_1,16,mps-uncap,1.0,398.11044473340513,877.4893930555376,4683.870414480834,20.458221435546875,2.895116806030273,4.164838790893556,20.75996398925781,3.948478698730468,4.684267044067382,21.650075912475582,4.640340805053711,5.845308303833008,77.105,0,9.485,0,9.66,0,0,densenet161-8-squeezenet1_0-2-squeezenet1_1-16
mobilenet_v3_small,32,vgg11,32,vgg11,32,mps-uncap,1.0,1056.343480147417,1568.8667897122527,1568.8734049180748,37.86492347717285,20.817089080810547,20.807981491088867,38.72272968292236,21.26703262329102,21.25213623046876,41.64743423461914,22.86028861999512,21.70395851135254,20.23,1,39.62,0,39.62,0,1,mobilenet_v3_small-32-vgg11-32-vgg11-32
densenet201,16,efficientnet_b6,32,squeezenet1_1,32,mps-uncap,1.0,221.888710842918,524.4389432537915,3427.8705498510813,76.49006843566896,62.32888698577881,12.88151741027832,79.50108528137208,63.04340124130249,14.90575075149535,81.18462562561035,64.32914733886719,16.315698623657227,93.695,0,140.455,0,15.995,1,1,densenet201-16-efficientnet_b6-32-squeezenet1_1-32
inception_v3,8,mobilenet_v2,16,vgg19,16,mps-uncap,1.0,226.20977032740467,1130.5786591401693,1130.5915797576936,38.66474628448486,15.46316146850586,14.546465873718262,39.78764533996581,16.715228557586666,14.855971336364746,40.45224189758301,18.427133560180664,16.167879104614258,40.88,0,20.44,0,41.37,0,0,inception_v3-8-mobilenet_v2-16-vgg19-16
inception_v3,16,mobilenet_v2,32,vgg19,2,mps-uncap,1.0,726.3924672864899,3507.30826507759,345.1786891823046,23.61693382263184,9.946656227111816,7.162976264953613,24.36798334121704,10.295732021331789,8.098287582397461,24.87111091613769,10.803699493408203,9.344816207885742,40.355,0,23.45,0,8.855,1,1,inception_v3-16-mobilenet_v2-32-vgg19-2
efficientnet_b7,8,inception_v3,16,mobilenet_v2,4,mps-uncap,1.0,308.68564346345386,1278.283830931614,1070.2235622055225,26.40688419342041,13.964414596557615,4.920244216918945,27.088093757629395,14.304184913635256,6.086783409118652,27.80890464782715,16.53122901916504,6.836175918579102,107.31,0,40.355,0,20.37,0,0,efficientnet_b7-8-inception_v3-16-mobilenet_v2-4
densenet169,2,resnet152,4,resnet18,32,mps-uncap,1.0,97.57287642859906,219.85762429244463,6237.973754262223,20.908522605896,19.34757232666016,5.328869819641113,21.765139102935787,20.04657745361328,5.48124074935913,23.227214813232425,20.524024963378903,6.64520263671875,78.89,0,64.085,0,17.955,0,0,densenet169-2-resnet152-4-resnet18-32
densenet169,4,resnet152,16,resnet18,8,mps-uncap,1.0,189.76856015216984,728.690862962872,2395.3748644367115,21.513795852661133,22.230100631713867,4.149436950683594,21.87541007995605,22.467288970947266,4.918217658996582,23.160934448242188,23.39649200439453,5.545616149902344,78.855,0,64.33,0,8.96,0,0,densenet169-4-resnet152-16-resnet18-8
densenet169,2,resnet152,32,resnet18,4,mps-uncap,1.0,76.53838798576201,1031.1878011353008,1053.827254991858,27.151870727539062,31.237173080444336,6.33325576782226,28.60443592071533,31.428351402282715,7.486252784729003,29.083967208862305,33.60247611999512,7.853031158447266,78.89,0,95.725,0,8.295,0,0,densenet169-2-resnet152-32-resnet18-4
densenet161,16,efficientnet_b7,2,efficientnet_b7,4,mps-uncap,1.0,621.6147765209986,84.36860066715136,150.92954743040914,26.13000869750977,24.7298002243042,27.210235595703125,26.382739543914795,25.33149480819701,28.63245964050293,28.10096740722656,26.2300968170166,30.06577491760254,76.965,0,102.865,0,107.66,0,0,densenet161-16-efficientnet_b7-2-efficientnet_b7-4
